词语	拼音	词性	分级	义类编码
扶摇直上	fúyáo-zhíshàng		4	伍八Gb
拂拭	fúshì	动	4	伍一Ib
服	fú	动	2	伍二Ea
服	fú	动	3	伍五Qc
服从	fúcóng	动	2	陆九Cc
服气	fúqì	动	3	伍五Qc
服侍	fú·shi	动	3	陆十Db
服饰	fúshì	名	3	贰七Cb
服输	fúshū	动	3	陆九Ff
服务	fúwù	动	2	伍七Ec
服务生	fúwùshēng	名	3	壹一Jp
服务员	fúwùyuán	名	1	壹一Jp
服药	fú//yào	动	2	陆五Kd
服用	fúyòng	动	3	陆五Kd
服装	fúzhuāng	名	2	贰七Cb
俘获	fúhuò	动	3	陆六Gd
俘虏	fúlǔ	名	3	壹一Li
俘虏	fúlǔ	动	3	陆六Gd
浮	fú	动	2	柒二Of
浮雕	fúdiāo	名	4	叁九Cb
浮动	fúdòng	动	3	柒二Of
浮动	fúdòng	动	3	柒四Aa
浮光掠影	fúguāng-lüèyǐng		4	捌四Me
浮夸	fúkuā	形	3	捌四Ab
浮力	fúlì	名	3	叁二Gb
浮现	fúxiàn	动	3	柒三Fa
浮想联翩	fúxiǎng-liánpiān		4	伍五Rb
浮云	fúyún	名	3	贰三Cb
浮躁	fúzào	形	3	捌五Gf
符号	fúhào	名	2	叁八Ch
符合	fúhé	动	2	柒六Gc
幅	fú	量	1	叁十Ca
幅度	fúdù	名	4	叁十Ag
辐射	fúshè	动	3	柒一Ca
福	fú	名	2	叁一Ec
福利	fúlì	名	3	叁七Fa
福气	fú·qi	名	2	叁一Ec
福星	fúxīng	名	3	壹一Ga
福音	fúyīn	名	3	叁一Dc
福祉	fúzhǐ	名	4	叁一Ec
抚今追昔	fǔjīn-zhuīxī		4	伍五Xa
抚摸	fǔmō	动	2	伍一Ad
抚慰	fǔwèi	动	3	陆九Hd
抚恤	fǔxù	动	4	陆九Hd
抚养	fǔyǎng	动	2	陆十Fa
斧头	fǔ·tóu	名	2	贰五Ca
斧子	fǔ·zi	名	2	贰五Ca
俯	fǔ	动	2	伍三Fc
俯冲	fǔchōng	动	4	伍三Ba
俯瞰	fǔkàn	动	4	伍二Da
俯拾即是	fǔshí-jíshì		3	捌四Kb
俯视	fǔshì	动	3	伍二Da
俯首	fǔshǒu	动	4	伍二Ab
俯首帖耳	fǔshǒu-tiē’ěr		4	捌五Cd
辅导	fǔdǎo	动	2	陆五Ab
辅导员	fǔdǎoyuán	名	2	壹一Jg
辅助	fǔzhù	动	3	陆十Ca
辅助	fǔzhù	形	3	捌四Lb
腐败	fǔbài	动	3	柒四Ca
腐败	fǔbài	形	3	捌四Pb
腐臭	fǔchòu	动	4	柒四Ca
腐化	fǔhuà	动	4	伍八Mb
腐化	fǔhuà	动	4	柒四Ca
腐烂	fǔlàn	动	3	柒四Ca
腐烂	fǔlàn	形	4	捌四Pb
腐蚀	fǔshí	动	4	陆十一Hd
腐蚀	fǔshí	动	4	柒四Ca
腐朽	fǔxiǔ	动	4	伍八Mb
腐朽	fǔxiǔ	动	4	柒四Ca
腐朽	fǔxiǔ	形	4	捌四Pb
父爱	fù’ài	名	2	叁三Bb
父母	fùmǔ	名	1	壹一Db
父女	fùnǚ	名	1	壹一Db
父亲	fù·qīn	名	1	壹一Db
父子	fùzǐ	名	1	壹一Db
付	fù	动	2	陆二Ec
付之一炬	fùzhī-yījù		4	柒一Ea
付诸东流	fùzhū-dōngliú		4	伍八Dc
负	fù	动	2	伍七Ed
负	fù	动	2	伍八Da
负担	fùdān	名	2	叁五Cb
负担	fùdān	动	2	伍七Ed
负荷	fùhè	名	4	叁十Ai
负荷	fùhè	动	4	伍七Ed
负荆请罪	fùjīng-qǐngzuì		4	陆九Ib
负面	fùmiàn	形	3	捌五Fb
负隅顽抗	fùyú-wánkàng		4	陆六Ea
负责	fùzé	动	2	伍七Ed
负责	fùzé	形	2	捌五Ga
妇女	fùnǚ	名	2	壹一Bb
妇孺皆知	fùrú-jiēzhī		4	捌四Qe
附	fù	动	3	柒二Fb
附和	fùhè	动	3	陆十一Fa
附加	fùjiā	动	2	柒五Aa
附件	fùjiàn	名	3	叁八Ef
附近	fùjìn	名	2	肆二Ag
附近	fùjìn	形	2	捌三Rb
附属	fùshǔ	动	3	柒六Db
附着	fùzhuó	动	3	柒二Ge
赴汤蹈火	fùtāng-dǎohuǒ		4	捌五Dc
赴约	fùyuē	动	3	陆九Ab
复仇	fù//chóu	动	3	陆十一Gd
复活	fùhuó	动	3	伍四Jb
复旧	fù//jiù	动	3	柒四Gc
复苏	fùsū	动	3	柒四Fa
复习	fùxí	动	1	陆五Ba
复兴	fùxīng	动	3	柒四Fa
复印	fùyìn	动	2	陆三Fa
复杂	fùzá	形	1	捌四Ib
复制	fùzhì	动	2	陆三Ac
副	fù	量	2	叁十Ca
副	fù	形	2	捌四Lb
副词	fùcí	名	4	叁八Cb
副食	fùshí	名	3	贰九Ac
副手	fùshǒu	名	4	壹一Ld
副职	fùzhí	名	4	叁四Ca
副作用	fùzuòyòng	名	3	叁一Fd
赋闲	fùxián	动	4	伍七Ab
赋予	fùyǔ	动	4	柒六Ob
富	fù	形	2	捌三Ae
富	fù	形	1	捌六Kb
富豪	fùháo	名	3	壹一Lh
富丽堂皇	fùlì-tánghuáng		4	捌三Na
富强	fùqiáng	形	2	捌四Na
富饶	fùráo	形	3	捌三Ae
富庶	fùshù	形	4	捌三Ae
富翁	fùwēng	名	2	壹一Lh
富有	fùyǒu	动	3	柒六Kb
富有	fùyǒu	形	2	捌六Kb
富余	fù·yu	动	3	陆二Bd
富裕	fùyù	形	2	捌六Kb
富足	fùzú	形	3	捌三Ae
腹	fù	名	3	壹五Ae
腹背受敌	fùbèi-shòudí		4	伍八Bc
腹泻	fùxiè	动	3	伍四If
覆盖	fùgài	动	3	柒二Bd
覆水难收	fùshuǐ-nánshōu		4	柒三Ha
馥郁	fùyù	形	4	捌二Ia
嘎嘎	gāgā	拟声	2	玖七Ba
该	gāi	动	1	伍五Za
该死	gāisǐ	动	2	捌四Bb
改	gǎi	动	1	伍七Fa
改	gǎi	动	1	陆五Ed
改	gǎi	动	1	柒四Ac
改编	gǎibiān	动	3	陆五Ea
改变	gǎibiàn	动	1	柒四Ac
改朝换代	gǎicháo-huàndài		3	柒四Ad
改革	gǎigé	动	2	陆一Ra
改观	gǎiguān	动	4	柒四Fb
改进	gǎijìn	动	3	柒四Fb
改良	gǎiliáng	动	3	柒四Fb
改日	gǎirì	副	3	玖一Cd
改善	gǎishàn	动	2	柒四Fa
改天	gǎitiān	副	3	玖一Cd
改天换地	gǎitiān-huàndì		3	柒四Ad
改头换面	gǎitóu-huànmiàn		3	捌六La
改弦更张	gǎixián-gēngzhāng		4	柒四Ad
改弦易辙	gǎixián-yìzhé		4	柒四Ad
改邪归正	gǎixié-guīzhèng		3	伍七Fa
改造	gǎizào	动	4	伍五Jc
改造	gǎizào	动	4	陆一Ra
改造	gǎizào	动	3	陆三Aa
改正	gǎizhèng	动	1	伍七Fa
钙	gài	名	3	贰三Gb
钙片	gàipiàn	名	3	贰十Bb
盖	gài	名	1	贰二Fa
盖	gài	动	1	伍一Ed
盖	gài	动	1	陆三Aa
盖棺论定	gàiguān-lùndìng		4	伍七Hg
盖子	gài·zi	名	1	贰二Fa
概况	gàikuàng	名	3	叁一Fb
概括	gàikuò	动	2	陆五Db
概括	gàikuò	形	2	捌四Hb
概率	gàilǜ	名	4	叁十Bg
概莫能外	gàimònéngwài		4	玖一Bd
概念	gàiniàn	名	3	叁一Cc
干	gàn	名	2	壹五Cb
干	gàn	动	1	伍七Ea
干	gān	形	1	捌二Oa
干瘪	gānbiě	形	4	伍四Ba
干瘪	gānbiě	形	4	捌一Gb
干瘪	gānbiě	形	4	捌四Jd
干脆	gāncuì	形	3	捌五Ce
干脆	gāncuì	副	3	玖一Df
干戈	gāngē	名	4	叁六Ba
干旱	gānhàn	形	2	捌二Oa
干涸	gānhé	形	4	捌二Oa
干净	gānjìng	形	1	捌六Ga
干净利落	gānjìng-lì·luo		3	捌三Pa
干渴	gānkě	形	2	伍四Gc
干枯	gānkū	形	2	伍四Ba
干枯	gānkū	形	2	捌二Oa
干粮	gān·liang	名	2	贰九Aa
干扰	gānrǎo	动	3	陆十一Db
干涩	gānsè	形	4	捌二Gc
干涩	gānsè	形	4	捌二Oa
干涩	gānsè	形	4	捌四Ef
干涉	gānshè	名	3	叁四Bb
干涉	gānshè	动	3	陆九Fc
干预	gānyù	动	3	陆九Fc
干燥	gānzào	形	2	捌二Oa
甘	gān	名	3	叁五Ae
甘拜下风	gānbài-xiàfēng		3	伍五Qc
甘苦	gānkǔ	名	4	叁一Fb
甘甜	gāntián	形	2	捌二Ja
甘心	gānxīn	动	2	伍五Ab
甘心	gānxīn	动	2	伍五Yb
杆	gān	名	2	贰二Ee
杆	gǎn	量	2	叁十Ca
肝	gān	名	2	壹五Ak
肝肠寸断	gāncháng-cùnduàn		3	伍五Ba
肝胆相照	gāndǎn-xiāngzhào		4	捌五Ba
肝脑涂地	gānnǎo-túdì		4	伍四Cc
肝脏	gānzàng	名	3	壹五Ak
柑橘	gānjú	名	3	壹三Fb
尴尬	gāngà	形	3	伍八Bc
秆	gǎn	名	4	壹五Cb
赶	gǎn	动	1	陆九Ae
赶赴	gǎnfù	动	4	伍七Ia
赶集	gǎn//jí	动	2	伍七Kc
赶紧	gǎnjǐn	副	2	玖一Dd
赶尽杀绝	gǎnjìn-shājué		3	捌五Ab
赶快	gǎnkuài	副	1	玖一Dd
赶路	gǎn//lù	动	2	陆四Ba
赶忙	gǎnmáng	副	2	玖一Dd
敢	gǎn	动	1	伍五Yc
敢于	gǎnyú	动	2	伍五Yc
感触	gǎnchù	名	3	叁三Aa
感到	gǎndào	动	1	伍五Va
感动	gǎndòng	动	1	伍五Db
感恩	gǎn//ēn	动	2	陆九Ia
感恩戴德	gǎn’ēn-dàidé		4	陆九Ia
感化	gǎnhuà	动	4	陆五Aa
感激	gǎnjī	动	3	陆九Ia
感激涕零	gǎnjī-tìlíng		4	陆九Ia
感觉	gǎnjué	名	1	叁三Ba
感觉	gǎnjué	动	2	伍五Va
感慨	gǎnkǎi	动	3	伍五Db
感冒	gǎnmào	名	2	叁九Ea
感冒	gǎnmào	动	1	伍四Ic
感念	gǎnniàn	动	4	伍五Xb
感情	gǎnqíng	名	2	叁三Bb
感染	gǎnrǎn	动	3	柒六Oa
感人	gǎnrén	形	1	捌四Ja
感伤	gǎnshāng	形	4	伍五Ba
感受	gǎnshòu	名	2	叁三Aa
感受	gǎnshòu	动	2	伍五Td
感叹	gǎntàn	动	3	伍五Db
感叹号	gǎntànhào	名	2	叁八Ci
感同身受	gǎntóngshēnshòu		4	伍七Ac
感想	gǎnxiǎng	名	2	叁三Aa
感谢	gǎnxiè	动	1	陆九Ia
橄榄	gǎnlǎn	名	3	壹三Fb
橄榄绿	gǎnlǎnlǜ	形	4	捌二Ae
干部	gànbù	名	1	壹一Ja
干练	gànliàn	形	4	捌五Xa
赣	Gàn	名	3	叁五Ae
刚	gāng	副	1	玖一Ea
刚才	gāngcái	名	1	肆一Dc
刚刚	gānggāng	副	1	玖一Ea
刚好	gānghǎo	副	1	玖一Ge
刚劲	gāngjìng	形	3	捌四Nb
刚烈	gāngliè	形	3	捌五Da
刚强	gāngqiáng	形	3	捌五Da
刚柔相济	gāngróu-xiāngjì		3	捌五Da
刚毅	gāngyì	形	4	捌五Da
刚正	gāngzhèng	形	3	捌五Be
刚正不阿	gāngzhèng-bù’ē		4	捌五Be
纲	gāng	名	4	叁二Cd
纲举目张	gāngjǔ-mùzhāng		4	捌四Ee
纲领	gānglǐng	名	4	叁八Ga
纲要	gāngyào	名	4	叁八Ga
钢	gāng	名	2	贰四Ac
钢笔	gāngbǐ	名	1	贰八Ca
钢筋	gāngjīn	名	3	贰四Ac
钢琴	gāngqín	名	2	贰八Aa
钢铁	gāngtiě	名	2	贰四Ac
缸	gāng	名	2	贰七Bd
岗位	gǎngwèi	名	3	叁四Ca
港	gǎng	名	2	贰三Bg
港	gǎng	名	2	贰六Cd
港	gǎng	名	3	叁五Ae
港口	gǎngkǒu	名	2	贰六Cd
杠铃	gànglíng	名	4	贰八Ba
高	gāo	名	1	叁十Ah
高	gāo	形	1	捌一Ba
高	gāo	形	2	捌四Ba
高昂	gāo’áng	动	3	伍六Eb
高傲	gāo’ào	形	2	捌五Hb
高不可攀	gāobùkěpān		3	捌四Qc
高层	gāocéng	名	4	壹一Ld
高层	gāocéng	形	3	捌四Da
高超	gāochāo	形	3	捌四Ba
高潮	gāocháo	名	3	贰三Cf
高潮	gāocháo	名	3	叁一Fa
高大	gāodà	形	2	捌一Ba
高大	gāodà	形	2	捌四Oc
高档	gāodàng	形	3	捌四Da
高等	gāoděng	形	2	捌四Da
高低	gāodī	名	2	叁二Bb
高低	gāodī	名	2	叁二Eb
高低	gāodī	名	2	叁十Ah
高调	gāodiào	名	3	叁八Cg
高调	gāodiào	形	3	捌五Hb
高度	gāodù	名	2	叁十Ah
高度	gāodù	形	3	捌四Da
高额	gāo’é	形	3	捌三Aa
高尔夫	gāo’ěrfū	名	4	叁九Da
高风亮节	gāofēng-liàngjié		4	叁二Ib
高峰	gāofēng	名	3	贰三Ba
高峰	gāofēng	名	3	叁二Eb
高高在上	gāogāo-zàishàng		2	捌四Qc
高歌猛进	gāogē-měngjìn		3	伍八Ma
高估	gāogū	动	3	伍五Sb
高贵	gāoguì	形	3	捌四Qc
高贵	gāoguì	形	3	捌五Qa
高级	gāojí	形	2	捌四Da
高洁	gāojié	形	4	捌五Ra
高峻	gāojùn	形	4	捌一Mb
高亢	gāokàng	形	3	捌二Ga
高考	gāokǎo	名	2	叁八Bc
高科技	gāokējì	名	3	叁二Ie
高空	gāokōng	名	2	肆二Ba
高粱	gāo·liang	名	2	壹三Ea
高龄	gāolíng	名	3	肆一Ib
高龄	gāolíng	形	3	捌三Ia
高明	gāomíng	形	3	捌五Xa
高朋满座	gāopéng-mǎnzuò		3	捌三Aa
高山流水	gāoshān-liúshuǐ		4	捌二Ha
高尚	gāoshàng	形	2	捌五Qa
高深	gāoshēn	形	3	捌四Kc
高深莫测	gāoshēn-mòcè		3	捌四Kc
高手	gāoshǒu	名	3	壹一Ia
高耸	gāosǒng	动	3	柒二Ac
高速	gāosù	形	2	捌三Pa
高谈阔论	gāotán-kuòlùn		3	陆九Eg
高铁	gāotiě	名	2	贰六Ca
高头大马	gāotóu-dàmǎ		2	壹二Cb
高屋建瓴	gāowū-jiànlíng		4	捌四Mb
高效	gāoxiào	形	3	捌四Fa
高兴	gāoxìng	动	1	伍五Aa
高血压	gāoxuèyā	名	2	叁九Ea
高雅	gāoyǎ	形	3	捌三La
高原	gāoyuán	名	2	贰三Bb
高远	gāoyuǎn	形	3	捌四Mb
高瞻远瞩	gāozhān-yuǎnzhǔ		4	捌五Za
高涨	gāozhǎng	动	3	伍六Ea
高涨	gāozhǎng	动	3	柒五Ad
高枕无忧	gāozhěn-wúyōu		3	捌六Aa
高中	gāozhōng	名	2	叁八Bd
糕点	gāodiǎn	名	2	贰九Ag
搞	gǎo	动	2	伍七Ea
镐	gǎo	名	4	贰五Cb
稿纸	gǎozhǐ	名	3	贰八Ca
稿子	gǎo·zi	名	2	叁八Ec
告	gào	动	2	陆七Ab
告别	gào//bié	动	2	陆九Aj
告辞	gàocí	动	3	陆九Aj
告急	gào//jí	动	4	陆九Kc
告诫	gàojiè	动	4	陆九Hc
告密	gào//mì	动	3	陆七Ab
告示	gào·shi	名	3	叁八Ef
告诉	gào·su	动	1	陆九Fa
告退	gàotuì	动	4	陆九Aj
告知	gàozhī	动	3	陆九Fa
戈壁	gēbì	名	2	贰三Bc
疙瘩	gē·da	名	4	贰二Ea
疙瘩	gē·da	名	4	叁一Ee
疙瘩	gē·da	名	4	叁九Ec
哥哥	gē·ge	名	1	壹一Dg
咯咯	gēgē	拟声	2	玖七Ba
胳膊	gē·bo	名	1	壹五Af
鸽子	gē·zi	名	1	壹二Db
搁浅	gē//qiǎn	动	4	柒三Bg
搁置	gēzhì	动	4	伍五Nb
割	gē	动	2	陆三Bb
割裂	gēliè	动	3	柒二Kb
割舍	gēshě	动	3	柒五Cd
歌	gē	名	1	叁九Ab
歌唱	gēchàng	动	2	陆五Fc
歌唱	gēchàng	动	2	陆九Ha
歌功颂德	gēgōng-sòngdé		4	陆九Ha
歌剧	gējù	名	2	叁九Bb
歌曲	gēqǔ	名	1	叁九Ab
歌手	gēshǒu	名	2	壹一Jl
歌颂	gēsòng	动	2	陆九Ha
歌舞	gēwǔ	动	1	陆五Fd
歌谣	gēyáo	名	3	叁八Dd
歌咏	gēyǒng	动	3	陆五Fc
革故鼎新	gégù-dǐngxīn		4	柒四Fc
革命	gémìng	动	2	陆六Bb
革命	gémìng	形	2	捌五Oa
革新	géxīn	动	4	陆一Ra
阁	gé	名	3	贰六Gb
格斗	gédòu	动	4	陆十一Eb
格格不入	gégé-bùrù		3	柒六Hb
格局	géjú	名	4	叁一Fa
格式	gé·shi	名	3	叁二Ab
格外	géwài	副	2	玖一Ac
格言	géyán	名	2	叁八Cc
隔	gé	动	2	柒二Ff
隔岸观火	gé’àn-guānhuǒ		4	伍五Nb
隔壁	gébì	名	2	肆二Ag
隔断	géduàn	动	3	柒二Ff
隔绝	géjué	动	3	柒二Ff
隔离	gélí	动	3	柒二Ff
隔膜	gémó	名	4	叁一Ee
隔靴搔痒	géxuē-sāoyǎng		3	捌四Fb
个	gè	量	1	叁十Ca
个案	gè’àn	名	4	叁一Ad
个别	gèbié	形	2	捌三Ab
个人	gèrén	名	2	壹一Aa
个头儿	gètóur	名	2	叁二Fb
个性	gèxìng	名	3	叁二Ba
个性	gèxìng	名	3	叁二Ia
个子	gè·zi	名	1	叁十Ah
各	gè	副	1	玖一Cd
各奔东西	gèbèn-dōngxī		3	柒二Kc
各奔前程	gèbèn-qiánchéng		3	柒二Kc
各处	gèchù	名	2	肆二Ah
各得其所	gèdé-qísuǒ		4	捌四Ee
各个	gègè	副	2	玖一Cd
各行各业	gèháng-gèyè		3	叁四Eb
各就各位	gèjiù-gèwèi		2	伍七Ee
各式各样	gèshì-gèyàng		2	捌三Ac
各抒己见	gèshū-jǐjiàn		3	陆九Eh
各位	gèwèi	代	1	壹一Ac
各显神通	gèxiǎn-shéntōng		3	伍七Ea
各行其是	gèxíng-qíshì		4	柒二Ka
各有千秋	gèyǒu-qiānqiū		3	柒六Fa
各种各样	gèzhǒng-gèyàng		2	捌三Ac
各自	gèzì	代	2	壹一Ab
各自为政	gèzì-wéizhèng		3	捌六Bb
给	gěi	动	1	柒六Ob
给	gěi	介	1	玖二Ba
根	gēn	名	1	壹五Cb
根	gēn	量	1	叁十Ca
根本	gēnběn	名	2	叁二Dc
根本	gēnběn	形	2	捌四La
根除	gēnchú	动	3	柒五Ca
根据	gēnjù	名	2	叁一Bb
根据	gēnjù	动	2	柒六Na
根据	gēnjù	介	2	玖二Ea
根深蒂固	gēnshēn-dìgù		4	捌四Nc
根深叶茂	gēnshēn-yèmào		4	捌六Ca
根须	gēnxū	名	3	壹五Cb
根源	gēnyuán	名	3	叁一Bb
跟	gēn	介	2	玖二Da
跟	gēn	连	2	玖三Aa
跟前	gēnqián	名	2	肆二Ag
跟随	gēnsuí	动	3	伍七Jb
跟踪	gēnzōng	动	2	伍七Jb
更改	gēnggǎi	动	2	柒四Ac
更换	gēnghuàn	动	3	柒四Ad
更替	gēngtì	动	3	柒四Ad
更新	gēngxīn	动	3	柒四Fc
更新换代	gēngxīn-huàndài		3	柒四Fc
庚	gēng	名	4	肆一Ab
耕	gēng	动	2	陆三Jb
耕地	gēngdì	名	2	贰三Bj
耕地	gēngdì	动	2	陆三Jb
耕耘	gēngyún	动	4	陆三Jb
耕种	gēngzhòng	动	3	陆三Jb
耕作	gēngzuò	动	3	陆三Jb
羹	gēng	名	4	贰九Ad
耿耿于怀	gěnggěngyúhuái		3	伍五Ya
哽咽	gěngyè	动	4	伍六Ab
梗	gěng	名	4	壹五Cb
更	gèng	副	1	玖一Ab
更	gèng	副	1	玖一Fa
更加	gèngjiā	副	1	玖一Ab
工厂	gōngchǎng	名	1	叁七Ga
工程	gōngchéng	名	3	叁四Ea
工程师	gōngchéngshī	名	3	壹一Jc
工地	gōngdì	名	2	肆二Ca
工夫	gōng·fu	名	2	肆一Bb
工匠	gōngjiàng	名	3	壹一Jn
工具	gōngjù	名	1	贰五Aa
工具书	gōngjùshū	名	2	叁八Eb
工人	gōngrén	名	1	壹一Jn
工事	gōngshì	名	4	贰六Fa
工业	gōngyè	名	2	叁四Eb
工艺	gōngyì	名	3	叁二Ie
工整	gōngzhěng	形	2	捌六Ha
工资	gōngzī	名	2	叁七Fa
工作	gōngzuò	名	1	叁四Ec
工作	gōngzuò	动	1	伍七Db
弓	gōng	名	1	贰五Fg
公	gōng	形	1	捌三Ha
公	gōng	形	1	捌四Va
公安局	gōng’ānjú	名	2	叁五Bg
公布	gōngbù	动	2	陆一Fa
公车	gōngchē	名	1	贰五Ea
公道	gōngdào	名	4	叁一Cc
公道	gōng·dao	形	4	捌五Ja
公费	gōngfèi	动	3	伍七Hc
公告	gōnggào	名	2	叁八Ef
公告	gōnggào	动	2	陆一Fa
公公	gōng·gong	名	2	壹一Cd
公公	gōng·gong	名	2	壹一Di
公共	gōnggòng	形	1	捌四Va
公关	gōngguān	名	3	叁四Bb
公函	gōnghán	名	4	叁八Ee
公斤	gōngjīn	量	2	叁十Cc
公开	gōngkāi	动	2	柒六Be
公开	gōngkāi	形	2	捌四Sc
公款	gōngkuǎn	名	3	叁七Eb
公里	gōnglǐ	量	2	叁十Cc
公立	gōnglì	形	3	捌四Va
公路	gōnglù	名	1	贰六Ca
公民	gōngmín	名	2	壹一Aa
公平	gōngpíng	形	2	捌五Ja
公仆	gōngpú	名	4	壹一Ja
公顷	gōngqǐng	量	3	叁十Cc
公然	gōngrán	副	3	玖一Ce
公认	gōngrèn	动	3	伍五Qb
公示	gōngshì	名	3	叁八Ef
公示	gōngshì	动	3	陆一Fa
公式	gōngshì	名	2	叁二Aa
公事	gōngshì	名	3	叁一Aa
公司	gōngsī	名	2	叁四Ad
公务	gōngwù	名	3	叁一Aa
公益	gōngyì	名	3	叁二Bc
公寓	gōngyù	名	2	叁七Gb
公元	gōngyuán	名	2	肆一Ab
公园	gōngyuán	名	1	贰六Ga
公约	gōngyuē	名	3	叁五Bb
公允	gōngyǔn	形	4	捌五Ja
公正	gōngzhèng	形	2	捌五Ja
公证	gōngzhèng	动	4	柒六Bg
公主	gōngzhǔ	名	1	壹一Lj
功	gōng	名	2	叁一Gb
功臣	gōngchén	名	3	壹一Lj
功成名就	gōngchéng-míngjiù		3	伍八Gc
功德	gōngdé	名	4	叁一Gb
功德无量	gōngdé-wúliàng		4	捌四Cc
功底	gōngdǐ	名	4	叁二If
功夫	gōng·fu	名	3	叁二Ga
功夫	gōng·fu	名	3	叁二If
功夫	gōng·fu	名	2	叁九Da
功课	gōngkè	名	1	叁八Bc
功劳	gōngláo	名	2	叁一Gb
功率	gōnglǜ	名	4	叁十Bg
功能	gōngnéng	名	2	叁一Fd
功效	gōngxiào	名	4	叁一Fd
功勋	gōngxūn	名	4	叁一Gb
功用	gōngyòng	名	3	叁一Fd
攻	gōng	动	4	陆五Ba
攻	gōng	动	2	陆六Ca
攻打	gōngdǎ	动	2	陆六Ca
攻读	gōngdú	动	4	陆五Ba
攻关	gōngguān	动	4	陆五Da
攻击	gōngjī	动	2	陆六Ca
攻克	gōngkè	动	3	陆六Ga
攻其不备	gōngqíbùbèi		4	陆六Ca
攻无不克	gōngwúbùkè		3	捌四Na
攻陷	gōngxiàn	动	4	陆六Ga
供不应求	gōngbùyìngqiú		3	陆二Bd
供给	gōngjǐ	动	3	陆十Ad
供求	gōngqiú	名	3	叁三Cb
供养	gōngyǎng	动	4	陆十Fa
供应	gōngyìng	动	3	陆十Ad
宫	gōng	名	2	贰六Gc
宫殿	gōngdiàn	名	3	贰六Gc
恭敬	gōngjìng	形	3	伍五Qd
恭顺	gōngshùn	形	4	伍五Qd
恭维	gōng·wéi	动	4	陆十一Fa
恭喜	gōngxǐ	动	2	陆九Hb
巩固	gǒnggù	动	2	柒五Ae
巩固	gǒnggù	形	2	捌四Nc
拱	gǒng	动	3	柒二Ab
拱桥	gǒngqiáo	名	3	贰六Cb
拱手	gǒng//shǒu	动	4	伍三Ga
拱形	gǒngxíng	名	3	叁二Aa
共	gòng	副	1	玖一Bd
共	gòng	副	1	玖一Ca
共产党	gòngchǎndǎng	名	2	叁五Af
共产主义	gòngchǎn zhǔyì		4	叁五Aa
共鸣	gòngmíng	名	3	叁三Ba
共时	gòngshí	形	4	肆一Ca
共识	gòngshí	名	3	叁三Da
共同	gòngtóng	副	1	玖一Ca
共享	gòngxiǎng	动	3	伍七Hh
共性	gòngxìng	名	3	叁二Ba
贡献	gòngxiàn	名	2	叁一Gb
贡献	gòngxiàn	动	2	陆十Ac
供奉	gòngfèng	动	4	陆八Ab
供认	gòngrèn	动	4	陆七Ac
勾结	gōujié	动	3	陆十一Fc
勾勒	gōulè	动	4	陆九Fh
勾引	gōuyǐn	动	3	陆十一Ha
佝偻	gōu·lóu	动	4	伍三Fa
沟	gōu	名	1	贰三Ba
沟	gōu	名	1	贰六Dd
沟壑	gōuhè	名	4	贰三Ba
沟渠	gōuqú	名	4	贰六Dd
沟通	gōutōng	动	3	陆九Fe
沟通	gōutōng	动	3	柒二Hd
钩	gōu	名	2	贰七Bc
钩	gōu	名	2	叁八Ca
钩子	gōu·zi	名	2	贰七Bc
篝火	gōuhuǒ	名	4	贰三Ea
苟延残喘	gǒuyán-cánchuǎn		4	伍五Bc
狗	gǒu	名	1	壹二Cc
狗急跳墙	gǒují-tiàoqiáng		3	伍八Bc
狗血喷头	gǒuxuè-pēntóu		4	陆九Gb
狗仗人势	gǒuzhàngrénshì		3	陆十一Ca
勾当	gòu·dàng	名	4	叁一Aa
构成	gòuchéng	动	2	柒二Ha
构建	gòujiàn	动	4	陆一Ma
构思	gòusī	名	3	叁一Cd
构思	gòusī	动	3	伍五Ra
构想	gòuxiǎng	名	3	叁一Cd
构想	gòuxiǎng	动	3	伍五Ra
构造	gòuzào	名	3	叁二Cc
构造	gòuzào	动	3	陆一Ma
购	gòu	动	2	陆二Ba
购买	gòumǎi	动	2	陆二Ba
够	gòu	动	1	陆二Bd
估	gū	动	2	伍五Sb
估计	gūjì	动	2	伍五Sb
估价	gūjià	动	4	陆二Bb
估量	gū·liang	动	3	伍五Sb
估算	gūsuàn	动	3	伍五Sb
咕咚	gūdōng	拟声	2	玖七Ca
咕叽	gū·ji	拟声	2	玖七Ca
咕噜	gūlū	拟声	3	玖七Ca
咕哝	gū·nong	动	4	陆九Ec
孤单	gūdān	形	2	捌六Dd
孤独	gūdú	形	2	捌六Dd
孤儿	gū’ér	名	2	壹一Li
孤芳自赏	gūfāng-zìshǎng		3	捌五Hb
孤寂	gūjì	形	4	捌六Dd
孤苦	gūkǔ	形	3	捌六Ka
孤苦伶仃	gūkǔ-língdīng		4	捌六Dd
孤立	gūlì	形	3	捌六Dd
孤零零	gūlínglíng	形	2	捌六Dd
孤陋寡闻	gūlòu-guǎwén		4	捌五Zb
孤僻	gūpì	形	4	捌四Ce
孤掌难鸣	gūzhǎng-nánmíng		3	伍五Be
孤注一掷	gūzhù-yīzhì		4	伍七Gi
姑姑	gū·gu	名	1	壹一Df
姑娘	gū·niang	名	1	壹一Bb
姑且	gūqiě	副	4	玖一Ea
姑息养奸	gūxī-yǎngjiān		4	陆十一Fb
辜负	gūfù	动	3	陆九Ae
古	gǔ	形	2	捌三Kd
古代	gǔdài	名	1	肆一Ba
